time,distance,spm,power,pace,calhr,calories,heartrate,status,,,,,,,,,,,,,,,,,,,,
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,79,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,81,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,87,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
12.18,21.9,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,86,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
47.81,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,83,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
60.0,0.0,0,0,0,0,0,84,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.88,0.1,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.67,0.5,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.47,0.8,0,0,0,0,0,85,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,0,0,0,1,,1
59.23,1.2,0,12,307.81912507463886,341.2992,0,85,1,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
59.04,1.5,0,12,307.81912507463886,341.2992,0,87,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
58.84,1.9,0,12,307.81912507463886,341.2992,0,87,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
58.65,2.2,0,12,307.81912507463886,341.2992,0,87,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
58.41,2.6,0,12,307.81912507463886,341.2992,0,87,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
58.2,3.0,0,12,307.81912507463886,341.2992,0,87,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
58.0,3.4,0,12,307.81912507463886,341.2992,0,88,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
57.77,3.8,0,12,307.81912507463886,341.2992,0,88,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
57.58,4.2,38,16,279.6722355203492,355.0656,0,88,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
57.34,4.6,38,16,279.6722355203492,355.0656,0,88,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
57.15,5.0,38,16,279.6722355203492,355.0656,0,88,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
56.96,5.3,38,16,279.6722355203492,355.0656,0,90,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
56.74,5.8,38,16,279.6722355203492,355.0656,0,90,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
56.53,6.2,38,16,279.6722355203492,355.0656,0,90,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
56.32,6.7,38,16,279.6722355203492,355.0656,0,90,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
56.11,7.1,43,22,251.50606042408953,375.7152,0,92,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
55.9,7.6,43,22,251.50606042408953,375.7152,0,92,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
55.69,8.0,43,22,251.50606042408953,375.7152,0,92,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
55.49,8.4,43,22,251.50606042408953,375.7152,0,92,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
55.26,9.0,43,22,251.50606042408953,375.7152,0,92,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
55.07,9.4,43,22,251.50606042408953,375.7152,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
54.85,9.9,46,30,226.80307053177893,403.248,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
54.65,10.3,46,30,226.80307053177893,403.248,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
54.46,10.8,46,30,226.80307053177893,403.248,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
54.23,11.3,46,30,226.80307053177893,403.248,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
54.01,11.8,46,30,226.80307053177893,403.248,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
53.82,12.2,46,30,226.80307053177893,403.248,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
53.61,12.7,47,33,219.7107811492718,413.57280000000003,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
53.39,13.2,47,33,219.7107811492718,413.57280000000003,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
53.2,13.7,47,33,219.7107811492718,413.57280000000003,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
52.98,14.2,47,33,219.7107811492718,413.57280000000003,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
52.79,14.6,47,33,219.7107811492718,413.57280000000003,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
52.57,15.1,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
52.35,15.6,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
52.15,16.1,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
51.96,16.5,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
51.73,17.0,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
51.52,17.4,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
51.32,17.9,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
51.11,18.3,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
50.89,18.7,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
50.71,19.1,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
50.49,19.5,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
50.27,19.9,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
50.08,20.3,56,34,217.53528398945562,417.0144,0,97,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.89,20.7,56,34,217.53528398945562,417.0144,0,96,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.66,21.1,56,34,217.53528398945562,417.0144,0,96,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.46,21.5,56,34,217.53528398945562,417.0144,0,96,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.26,21.8,56,34,217.53528398945562,417.0144,0,96,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
49.02,22.3,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.86,22.5,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.61,23.0,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.44,23.3,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.23,23.6,56,34,217.53528398945562,417.0144,0,95,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
48.01,24.0,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.79,24.3,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.62,24.6,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.39,25.0,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
47.17,25.4,56,34,217.53528398945562,417.0144,0,94,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.98,25.6,56,34,217.53528398945562,417.0144,0,93,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.75,26.0,56,34,217.53528398945562,417.0144,0,93,9,,22,2,5,634,168,530059078,120,120,50,9,,0,8,4,0,0,9,,9
46.56,26.3,56,34,217.53528398945562,417.0144,1,93,1,,22,2,5,634,168,530059078,120,120,50,1,,0,8,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,93,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,92,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,11,0,0,1,,1
46.41,26.3,56,0,0,0,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,13,0,0,1,,1
46.41,26.3,56,34,217.53528398945562,417.0144,1,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
13.58,26.3,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,88,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,90,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
0.0,0.0,0,0,0,0,0,91,1,,22,2,5,634,168,530059078,120,120,50,1,,0,1,0,255,0,1,,1
